,origin_name,color,residue,turbidity,label
0,1301837407-1,0,0,0,0
1,1411450810-1,0,0,0,0
2,1651193832-1,0,0,0,0
3,2077897036-1,0,0,0,0
4,290980310-1,0,1,0,0
5,492669076-1,0,1,0,0
6,626443490-1,0,1,0,0
7,IMG_20190923_231959,0,0,0,0
8,IMG_20190929_231813,0,0,0,0
9,IMG_20191104_214039,0,0,0,0
10,IMG_20191120_055633,0,0,0,0
11,IMG_20191212_162004,0,0,0,0
12,IMG_20200210_203306,0,0,0,0
13,IMG_20200210_232631,0,0,0,0
14,IMG_20200211_001150,0,0,0,0
15,IMG_20200419_214543,0,1,0,0
16,IMG_20200521_180514,0,0,0,0
17,IMG_20200525_225901,0,1,0,0
18,IMG_20200603_055957,0,0,0,0
19,IMG_20200609_183930,0,0,0,0
20,IMG_20200609_194904,0,2,0,0
21,IMG_20200716_172555,0,1,0,0
22,IMG_20200726_193227,0,0,0,0
23,IMG_20201130_234558,0,0,0,0
24,IMG_20201214_144119,0,0,0,0
25,IMG_20210114_175558,0,1,0,0
26,IMG_20210114_191925,0,0,0,0
27,IMG_20210201_151456,0,0,0,0
28,IMG_20210304_034244,0,0,0,0
29,IMG_20210304_105147,0,0,0,0
30,IMG_20210304_113345,0,2,0,0
31,IMG_20210308_175708,0,2,0,0
32,IMG_20210308_213938,0,2,0,0
33,IMG_20210310_071840,0,0,0,0
34,IMG_20210316_234244,0,0,0,0
35,IMG_20210322_190014,0,0,0,0
36,IMG_20210322_194304,0,0,0,0
37,IMG_20210503_152700,0,0,0,0
38,IMG_20210503_161818,0,0,0,0
39,IMG_20210510_202120,0,0,0,0
40,IMG_20210510_210602,0,0,0,0
41,IMG_20210510_214851,0,0,0,0
42,IMG_20210510_222851,0,0,0,0
43,IMG_20210510_225414,0,0,0,0
44,IMG_20210510_231652,0,0,0,0
45,IMG_20210517_191001,0,0,0,0
46,IMG_20210517_221902,0,0,0,0
47,IMG_20210518_065116,0,0,0,0
48,IMG_20210726_193436,0,0,0,0
49,IMG_20210727_170200,0,0,0,0
50,IMG_20210727_171425,0,0,0,0
51,IMG_20210802_211852,0,0,0,0
52,IMG_20210831_194716,0,0,0,0
53,IMG_20210831_203317,0,0,0,0
54,IMG_20210831_215124,0,0,0,0
55,IMG_20210831_224141,0,0,0,0
56,IMG_20210831_232241,0,0,0,0
57,IMG_20210901_010418,0,0,0,0
58,IMG_20210901_013139,0,0,0,0
59,IMG_20210901_024405,0,2,0,0
60,IMG_20210901_034606,0,0,0,0
61,IMG_20210907_071459,0,0,0,0
62,IMG_20210927_182422,0,0,0,0
63,IMG_20211011_183028,0,0,0,0
64,IMG_20211014_213741,0,0,0,0
65,IMG_20211025_220256,0,0,0,0
66,IMG_20211025_230921,0,0,0,0
67,IMG_20211025_235605,0,0,0,0
68,IMG_20211026_005957,0,2,0,0
69,IMG_20211026_100427,0,0,0,0
70,IMG_20211026_114931,0,1,0,0
71,IMG_20211026_122936,0,1,0,0
72,IMG_20211028_181344,0,0,0,0
73,IMG_20211028_200126,0,0,0,0
74,IMG_20211028_211022,0,0,0,0
75,IMG_20211102_175824,0,0,0,0
76,IMG_20211114_214545,0,0,0,0
77,IMG_20211114_221530,0,2,0,0
78,IMG_20211114_224117,0,2,0,0
79,IMG_20211114_231046,0,2,0,0
80,IMG_20211118_174146,0,0,0,0
81,IMG_20211118_185117,0,0,0,0
82,IMG_20211118_234151,0,0,0,0
83,IMG_20211119_003148,0,0,0,0
84,IMG_20211119_113329,0,0,0,0
85,IMG_20211121_201626,0,0,0,0
86,IMG_20211129_102404,0,1,0,0
87,IMG_20211130_204940,0,0,0,0
88,IMG_20211130_224455,0,0,0,0
89,IMG_20211201_010428,0,0,0,0
90,IMG_20211201_012551,0,0,0,0
91,IMG_20211216_140637,0,0,0,0
92,IMG_20211230_210230,0,0,0,0
93,IMG_20220103_223105,0,0,0,0
94,IMG_20220103_223418,0,0,0,0
95,IMG_20220103_225915,0,0,0,0
96,IMG_20220103_232856,0,0,0,0
97,IMG_20220104_002907,0,1,0,0
98,IMG_20220104_020427,0,0,0,0
99,IMG_20220113_201347,0,1,0,0
100,IMG_20220202_170453,0,1,0,0
101,IMG_20220215_125338,0,0,0,0
102,IMG_20220222_202546,0,0,0,0
103,IMG_20220404_213645,0,0,0,0
104,IMG_20220411_200656,0,0,0,0
105,IMG_20220425_220134,0,0,0,0
106,IMG_20220425_230440,0,0,0,0
107,IMG_20220427_171220,0,0,0,0
108,IMG_20220707_073616,0,0,0,0
109,IMG_20220725_234236,0,1,0,0
110,IMG_20220726_063829,0,1,0,0
111,IMG_20220830_211847,0,0,0,0
112,IMG_20220904_220058,0,0,0,0
113,IMG_20220921_202403,0,0,0,0
114,IMG_20220923_120237,0,0,0,0
115,IMG_20220923_121143,0,0,0,0
116,IMG_20220926_161734,0,2,1,1
117,IMG_20220926_190932,0,2,0,1
118,IMG_20220926_195349,0,0,0,0
119,IMG_20220929_183947,0,0,0,0
120,IMG_20221006_232946,0,0,0,0
121,IMG_20221017_181250,0,0,0,0
122,IMG_20221017_183526,0,0,0,0
123,IMG_20221024_182235,0,0,0,0
124,IMG_20221024_193902,0,0,0,0
125,IMG_20221024_195811,0,0,0,0
